mmzhBwAAQBAJ,"The Irresistible Rise of Harry Potter","Andrew Blake"
Aaug_RnI-xQC,"The Ivory Tower and Harry Potter","Lana A. Whited"
iO5pApw2JycC,"Mapping the World of Harry Potter","Mercedes Lackey"
nT-_CQAAQBAJ,"Encounter Or Syncretism","Jacques H. Kamstra"
NRsVAAAAIAAJ,"Learning and Doing Policy Analysis in Education: Examining Diverse Approaches to Increasing Educational Access","Maria Teresa Tatto"
7t0sI2SQMuwC,"Corporate Governance in Family Owned Businesses","Saleh Hussain"
mmzhBwAAQBAJ,"The Irresistible Rise of Harry Potter","Andrew Blake"
Aaug_RnI-xQC,"The Ivory Tower and Harry Potter","Lana A. Whited"
iO5pApw2JycC,"Mapping the World of Harry Potter","Mercedes Lackey"
UtoLAwAAQBAJ,"F?ro?, et F?roa reserata","Lucas Jacobson Debes"
BusVAwAAQBAJ,"Histories of Infamy","Cristián A. Roa-de-la-Carrera"
kMG9AwAAQBAJ,"Overall Equipment Effectiveness","Robert C. Hansen"
ZrszFJwEpSoC,"Andrew and the Secret Gallery","Matthew Diggins"
1jn0Ee-SH18C,"Andrew Johnson and Reconstruction","Eric L. McKitrick"
MqL8lmT74HEC,"Andrew Carnegie","David Nasaw"
BInf0BiZolgC,Blake,"David V. Erdman"
r_nBAgAAQBAJ,"Complete Writings","William Blake"
H1dersJqUNAC,Europe,"William Blake"
mmzhBwAAQBAJ,"Гарри Поттер и кубок огня","J. K. Rowling"
l9wHAQAAMAAJ,"Гарри Поттер и тайная комната","J. K. Rowling"
eNsHAQAAMAAJ,"Мальчик Гарри и его собака Поттер","Валентин Постников"
mmzhBwAAQBAJ,"Гарри Поттер и кубок огня","J. K. Rowling"
l9wHAQAAMAAJ,"Гарри Поттер и тайная комната","J. K. Rowling"
eNsHAQAAMAAJ,"Мальчик Гарри и его собака Поттер","Валентин Постников"
39xLDwAAQBAJ,"Яичная афера","Джек Лондон"
qt1LDwAAQBAJ,"Как Джек пошел искать счастья",Великобритания
c3WoAgAAQBAJ,"Джек победитель великанов",Великобритания
M9qvtYYhRtAC,"The Shows of London","Richard Daniel Altick"
5d3BJvgwNykC,"London and the Culture of Homosexuality, 1885-1914","Matt Cook"
vcx0-KZ0e1AC,"В субботу вечером, в воскресенье утром","Алан Силлитоу"
